SM_R4C1_timestamps,median_pass_3
693.593608,1.6416217677882598e-08
695.049972,1.660381256164272e-08
696.405906,1.6747413886875012e-08
697.86227,1.6883771797213256e-08
699.318632,1.70365492009037e-08
702.633072,1.7224767962902163e-08
704.089434,1.748163983276095e-08
705.545798,1.7739094378784384e-08
707.002161,1.791562416085888e-08
708.458524,1.8080544254989245e-08
709.914887,1.8281273535244746e-08
714.283977,1.848078437393416e-08
715.74034,1.8713091605186353e-08
717.196703,1.896867971195823e-08
718.653066,1.915696686002625e-08
720.10943,1.9297868096594932e-08
721.565792,1.9467011366362265e-08
724.177234,1.9680546784590516e-08
725.834453,1.992340989216234e-08
728.445895,2.01648019559515e-08
728.847608,2.0374909181624255e-08
731.358622,2.0559147160726546e-08
732.814985,2.0737387270274208e-08
734.673061,2.0911197639515362e-08
738.640438,2.1128478981297684e-08
740.096801,2.1418303292442027e-08
741.553164,2.1682177437181294e-08
743.009527,2.1873182871739415e-08
743.41124,2.2046067110351273e-08
746.022681,2.2238914077190017e-08
749.236692,2.2496646988131165e-08
750.693055,2.2806942578040742e-08
752.149418,2.30767686146545e-08
753.605782,2.3267650577985076e-08
755.062145,2.3434357581152516e-08
756.518508,2.3647512721958313e-08
757.974871,2.387882048468543e-08
762.34396,2.411562323161792e-08
763.800324,2.444395263264018e-08
765.256688,2.4805964394252814e-08
766.713051,2.5089284371436337e-08
768.169414,2.5325005639315963e-08
770.680427,2.5564259268772646e-08
772.13679,2.582708122490332e-08
775.45123,2.6114430456838415e-08
776.907592,2.641752655803167e-08
779.418606,2.6710135727261693e-08
779.820319,2.695184051308077e-08
782.331332,2.7173477363012015e-08
783.787695,2.7411050547701968e-08
787.102135,2.7670876681905423e-08
788.558497,2.8015989421309702e-08
790.014861,2.8402487052174918e-08
791.471224,2.868434793105544e-08
792.927587,2.8885595706072958e-08
797.296676,2.9139610317741272e-08
798.75304,2.9484788159129612e-08
801.264053,2.9853779791612934e-08
802.720417,3.015922830834092e-08
804.377635,3.038818359151737e-08
805.833999,3.059597314378407e-08
807.290362,3.0783173210690536e-08
811.458595,3.101047574775914e-08
812.914958,3.1384122439384945e-08
813.316671,3.176382818275553e-08
814.773035,3.200826803722922e-08
817.284048,3.2169825601742486e-08
817.685761,3.232211321692648e-08
821.853994,3.2568074357345156e-08
823.410785,3.29074583243203e-08
824.867148,3.3194617200250494e-08
826.323511,3.338804016820301e-08
829.336666,3.358817486434112e-08
830.79303,3.386171167262062e-08
833.40447,3.4157463559455274e-08
833.705756,3.440405741965964e-08
836.216769,3.4607424722740765e-08
836.618482,3.4787602273511855e-08
839.43078,3.495974987453418e-08
840.887143,3.515810180685964e-08
842.443934,3.538665892776895e-08
843.900298,3.5627763956720604e-08
845.35666,3.582527575191549e-08
849.324037,3.598144583500632e-08
850.981256,3.620196889983628e-08
852.43762,3.647550964296575e-08
855.249918,3.673759610478086e-08
857.007566,3.699478498004905e-08
859.518579,3.723524173988467e-08
859.920292,3.744228948921165e-08
861.376655,3.761992339442457e-08
863.887669,3.779341732465434e-08
865.344032,3.7976364672125506e-08
865.745744,3.8142072940368905e-08
870.114835,3.8301690004229085e-08
871.571197,3.849425074669718e-08
873.02756,3.870770457439233e-08
874.483924,3.892230394102616e-08
875.940287,3.9134669258997426e-08
877.39665,3.931957204710888e-08
878.853013,3.947598614686585e-08
883.222102,3.9661295234220596e-08
884.678466,3.98885144923814e-08
886.134829,4.0100728376040914e-08
888.645842,4.029765274412319e-08
890.102205,4.053730483075425e-08
891.558568,4.080608535835741e-08
893.014932,4.1031373393559574e-08
896.32937,4.121260473479766e-08
897.785734,4.136256474465015e-08
900.296748,4.14799189793927e-08
901.953967,4.1611647607176396e-08
903.209474,4.176819833576521e-08
904.665837,4.194963872350071e-08
906.423485,4.2141865683811076e-08
907.879848,4.226823702150567e-08
909.43664,4.2334428436677014e-08
911.947653,4.242439612430443e-08
914.860379,4.2563028768392864e-08
915.262091,4.273541853725592e-08
917.873534,4.2967648143135616e-08
920.78626,4.327295644043841e-08
922.242623,4.3539210052659394e-08
923.698986,4.367174721976169e-08
927.967647,4.3783313495059384e-08
929.530811,4.400454667092476e-08
930.886746,4.4232825162708806e-08
931.288458,4.433572606037954e-08
932.744822,4.436516673051403e-08
935.255835,4.44152811305662e-08
935.657548,4.4513807474182575e-08
940.026638,4.463761654893044e-08
